date,price
2022-01-01,3769.7
2022-01-02,3829.56
2022-01-03,3761.38
2022-01-04,3794.06
2022-01-05,3550.39
2022-01-06,3418.41
2022-01-07,3193.21
2022-01-08,3091.97
2022-01-09,3157.75
2022-01-10,3083.1
2022-01-11,3238.11
2022-01-12,3372.26
2022-01-13,3248.29
2022-01-14,3310.0
2022-01-15,3330.53
2022-01-16,3350.92
2022-01-17,3212.3
2022-01-18,3164.03
2022-01-19,3095.83
2022-01-20,3001.12
2022-01-21,2557.93
2022-01-22,2405.18
2022-01-23,2535.04
2022-01-24,2440.35
2022-01-25,2455.94
2022-01-26,2468.03
2022-01-27,2423.0
2022-01-28,2547.09
2022-01-29,2597.08
2022-01-30,2603.47
2022-01-31,2688.28
2022-02-01,2792.12
2022-02-02,2682.85
2022-02-03,2679.16
2022-02-04,2983.59
2022-02-05,3014.65
2022-02-06,3057.48
2022-02-07,3142.47
2022-02-08,3122.61
2022-02-09,3239.46
2022-02-10,3077.48
2022-02-11,2927.38
2022-02-12,2917.36
2022-02-13,2883.46
2022-02-14,2933.48
2022-02-15,3179.88
2022-02-16,3127.83
2022-02-17,2881.48
2022-02-18,2785.73
2022-02-19,2763.7
2022-02-20,2628.65
2022-02-21,2573.82
2022-02-22,2639.3
2022-02-23,2590.36
2022-02-24,2598.07
2022-02-25,2764.54
2022-02-26,2781.11
2022-02-27,2621.8
2022-02-28,2919.2
2022-03-01,2972.49
2022-03-02,2950.12
2022-03-03,2834.47
2022-03-04,2617.16
2022-03-05,2664.83
2022-03-06,2555.04
2022-03-07,2497.77
2022-03-08,2576.75
2022-03-09,2729.78
2022-03-10,2608.05
2022-03-11,2559.56
2022-03-12,2574.75
2022-03-13,2518.94
2022-03-14,2590.7
2022-03-15,2620.15
2022-03-16,2772.06
2022-03-17,2814.85
2022-03-18,2945.34
2022-03-19,2946.26
2022-03-20,2860.46
2022-03-21,2897.98
2022-03-22,2973.13
2022-03-23,3031.07
2022-03-24,3108.06
2022-03-25,3106.67
2022-03-26,3143.18
2022-03-27,3291.58
