date,price
2022-01-03,477.71
2022-01-04,477.55
2022-01-05,468.38
2022-01-06,467.94
2022-01-07,466.09
2022-01-10,465.51
2022-01-11,469.75
2022-01-12,471.02
2022-01-13,464.53
2022-01-14,464.72
2022-01-18,456.49
2022-01-19,451.75
2022-01-20,446.75
2022-01-21,437.98
2022-01-24,439.84
2022-01-25,434.47
2022-01-26,433.38
2022-01-27,431.24
2022-01-28,441.95
2022-01-31,449.91
2022-02-01,452.95
2022-02-02,457.35
2022-02-03,446.6
2022-02-04,448.7
2022-02-07,447.26
2022-02-08,450.94
2022-02-09,457.54
2022-02-10,449.32
2022-02-11,440.46
2022-02-14,439.02
2022-02-15,446.1
2022-02-16,446.6
2022-02-17,437.06
2022-02-18,434.23
2022-02-22,429.57
2022-02-23,421.95
2022-02-24,428.3
2022-02-25,437.75
2022-02-28,436.63
2022-03-01,429.98
2022-03-02,437.89
2022-03-03,435.71
2022-03-04,432.17
2022-03-07,419.43
2022-03-08,416.25
2022-03-09,427.41
2022-03-10,425.48
2022-03-11,420.07
2022-03-14,417.0
2022-03-15,426.17
2022-03-16,435.62
2022-03-17,441.07
2022-03-18,444.52
2022-03-21,444.39
2022-03-22,449.59
2022-03-23,443.8
2022-03-24,450.49
2022-03-25,452.69
2022-03-28,455.91
2022-03-29,461.55
2022-03-30,458.7
2022-03-31,451.64
2022-04-01,452.92
2022-04-04,456.8
2022-04-05,451.03
2022-04-06,446.52
2022-04-07,448.77
2022-04-08,447.57
2022-04-11,439.92
2022-04-12,438.29
2022-04-13,443.31
2022-04-14,437.79
2022-04-18,437.97
2022-04-19,445.04
2022-04-20,444.71
2022-04-21,438.06
2022-04-22,426.04
2022-04-25,428.51
2022-04-26,416.1
2022-04-27,417.27
2022-04-28,427.81
2022-04-29,412.0
2022-05-02,414.48
2022-05-03,416.38
2022-05-04,429.06
2022-05-05,413.81
2022-05-06,411.34
2022-05-09,398.17
2022-05-10,399.09
2022-05-11,392.75
2022-05-12,392.34
2022-05-13,401.72
2022-05-16,400.09
2022-05-17,408.32
2022-05-18,391.86
2022-05-19,389.46
2022-05-20,389.63
2022-05-23,396.92
2022-05-24,393.89
2022-05-25,397.37
2022-05-26,405.31
2022-05-27,415.26
2022-05-31,412.93
2022-06-01,409.59
2022-06-02,417.39
2022-06-03,410.54
2022-06-06,411.79
2022-06-07,415.74
2022-06-08,411.22
