user-id,simbol,type,strategy,RR,target,time,duration,TP,PNL
1,BTC-USD,L,WVR,5.07,3.43,2023-01-30 20:30,2h,0,-6.8$
1,BTC-USD,L,WVR,2.87,3.29,2023-01-30 22:30,45h,2,24.35$
1,BTC-USD,S,WVR,6.81,4.06,2023-2-1 22:30,2h,0,-6$
1,BTC-USD,S,WVR,7.69,5.36,2023-2-2 18:30,71h,2,42.05$
1,BTC-USD,S,WVR,4.54,1.52,2023-2-6 19:00,4h,2,11.2$
1,BTC-USD,S,WVR,2.79,1.95,2023-2-7 20:00,5h,0,-7$
1,BTC-USD,L,WVR,2.79,1.48,2023-2-13 18:00,5h,2,10.9$
1,BTC-USD,S,WVR,5.17,1.56,2023-2-14 12:30,2h,1,4$
1,BTC-USD,S,WVR,3.57,3.09,2023-2-14 15:30,20h,0,-9$
1,BTC-USD,S,WVR,6.59,5.35,2023-2-15 12:30,"3,5h",0,-8.1$
1,BTC-USD,L,WVR,7.25,3.25,2023-2-21 22:00,4h,0,-4.5$
1,BTC-USD,L,WVR,12.89,5.67,2023-2-22,19h,1,16.75$
1,BTC-USD,S,WVR,3,1.99,2023-2-27,1h,2,14.4$
1,BTC-USD,L,WVR,3.31,2.3,2023-2-28 21:30,7h,2,17.05$
1,BTC-USD,L,WVR,3.91,3.92,2023-3-3 17:30,52h,1,15$
1,BTC-USD,S,WVR,4.15,1,2023-3-6 16:00,5h,2,15$
1,BTC-USD,L,WVR,3.32,5.89,2023-3-10 12:00,54h,2,51.95$
1,BTC-USD,S,WVR,3.77,6.83,2023-3-14 13:00,6h,2,42.05$
1,BTC-USD,S,WVR,6.46,3.1,2023-3-21 17:00,20h,1,7.85$
1,BTC-USD,S,WVR,3.55,3.89,2023-3-22 15:30,3.5h,2,29$
1,BTC-USD,L,WVR,3.01,5.6,2023-3-22 21:30,17.5h,2,43.25$
1,BTC-USD,S,WVR,4.47,4.78,2023-3-23 16:00,29h,2,35.4$
1,BTC-USD,L,WVR,3.31,4.74,2023-3-24 22:00,50h,1,21.2$
1,BTC-USD,L,WVR,2.75,4.51,2023-3-27 15:30,39h,2,30.05$
1,BTC-USD,S,WVR,5.54,6.06,2023-3-2 14:00,12h,0,-11$
1,BTC-USD,L,WVR,2.54,3.16,2023-4-3 21:30,13.5h,2,24.15$
1,BTC-USD,S,WVR,4.03,3.1,2023-4-5 12:30,22h,2,23.05$
1,BTC-USD,S,WVR,5.79,1.82,2023-4-10 18:30,3.5h,0,-3.1$
1,BTC-USD,L,WVR,4.77,2.37,2023-4-17 13:30,11.5h,0,-5$
1,BTC-USD,L,WVR,2.55,2.53,2023-4-18 1:00,9.5,2,18.65$
1,BTC-USD,S,WVR,5.61,3.46,2023-4-18 13:30,18.5h,2,25.35$
1,BTC-USD,L,WVR,6.61,3.81,2023-4-21 22:30,48.5h,1,13.4$
1,BTC-USD,S,WVR,3.47,2.39,2023-4-25 22:00,2h,0,-7$
1,BTC-USD,S,WVR,6.64,5.25,2023-4-26 13:00,6.5h,2,39.05$
